feature_name,feature_category,mathematical_definition,required_input_columns,expected_output_type,scientific_motivation,stgt_relevance,generic_or_novel,implementation_difficulty,priority,status
total_operational_limitation,Operational,TOL(t) = Gas/LF + Coal + Water + Shutdown MW,Gas/LF limitation; Coal supply Limitation; Low water level in Kaptai lake; Plants under shut down/ maintenance,float32,Combined supply-side constraint magnitude.,Single global stress index input to transformer.,Generic,Low,High,Proposed
operational_stress_index,Operational,OSI(t) = w1·(L_total/D_total) + w2·(1-GR/Highest Gen) + w3·TOL/Highest Gen; weights w from train-only normalisation (fixed after fit),total_regional_load; total_regional_demand; generation_reserve; total_operational_limitation; Highest Generation (Generation end),float32,Composite stress aligned with multi-task objective (shedding + operational assessment).,"Novel research feature unifying demand, supply margin, and constraints for STGT.",Novel,High,High,Proposed
any_regional_shedding,Operational,ARS(t) = 1 if ∃r: L_r(t) > 0 else 0,all regional load columns,int8 / float32 binary,Binary system-level shedding event indicator.,Event-level target/auxiliary for imbalanced load-shedding classification head.,Generic,Low,High,Proposed
shedding_region_count,Operational,SRC(t) = |{r : L_r(t) > 0}|,all regional load columns,"int8 / float32 [0,9]",Spatial extent of load-shedding events.,Multi-node stress breadth signal for graph-level prediction.,Novel,Low,Medium,Proposed
spatial_demand_dispersion,Graph Candidate,SDD(t) = std_r(D_r(t)) / mean_r(D_r(t)),all regional demand columns,float32,Heterogeneity of load across divisions; high when spatially uneven stress.,Graph-level summary informing adaptive attention over nodes.,Novel,Low,Medium,Proposed
dhaka_dominance_index,Regional,DDI(t) = D_Dhaka(t) / D_total(t),Dhaka_demand; all regional demand columns,"float32 [0,1]",Capital region concentration; largest single-node share.,Hub-node importance weight for graph transformer.,Generic,Low,Medium,Proposed
rolling_demand_corr_90d,Graph Candidate,"ρ_ij(t) = corr(D_i, D_j) over trailing 90 observed days; computed per split without future leakage","regional demand columns for nodes i,j; Date",float32 matrix (edge weights),Phase 02 showed >0.65 inter-regional demand correlation; dynamic coupling.,Time-varying edge weights for spatio-temporal graph construction (Phase 06+).,Generic,High,Medium,Proposed
static_geographic_adjacency_prior,Graph Candidate,"A_ij = 1 if divisions i,j share a border (Bangladesh admin map); else 0; optionally row-normalised","region metadata (external lookup table, not in CSV)",float32 adjacency matrix,Physical grid topology prior independent of data correlation.,Structural inductive bias for graph transformer message passing.,Generic,Medium,Low,Proposed
pairwise_demand_gradient,Graph Candidate,"G_ij(t) = |D_i(t) - D_j(t)| / max(D_total(t), ε)",regional demand columns; total_regional_demand,float32 (edge feature),Instantaneous spatial load imbalance between neighbours.,Dynamic edge feature complementing correlation-based weights.,Novel,Medium,Low,Proposed
national_eve_peak_lag_1,Temporal,ND(t-1) for Max Eve Peak Gen-end,Max. Demand at eve. peak (Generation end); Date,float32,National autoregressive structure complements regional lags.,Global autoregressive channel for graph-level demand forecasting.,Generic,Low,Medium,Proposed
