paper_id,title,research_topic,limitation_category,limitation
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,Generalisation,DER/windstorm scenarios may not reflect Bangladesh fuel/limitation drivers documented in dataset.
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Generalisation,Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified.
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
